project_id,town,selection_class,hes_designation_reference,feature_id,listed_building_title,statutory_title,category,designation_type,statutory_status,longitude,latitude,location_precision,documented_date,date_basis,date_confidence,source_url,source_accessed_at,source_attribution
whitburn-scotland,Whitburn,heritage_buffer,LB14203,hes-listed-building:LB14203,East Whitburn,EAST WHITBURN HOUSE.,Category C,Listed Building,Listed Building,-3.663007411000042,55.867863361964275,high,Earlier 19th century,estimated_from_authoritative_source,medium,https://portal.historicenvironment.scot/designation/LB14203,2026-07-31T23:45:33.971Z,Historic Environment Scotland
whitburn-scotland,Whitburn,inside_locality,LB42184,hes-listed-building:LB42184,"Burial Enclosure, Churchyard, Whitburn Parish Church, Manse Road, Whitburn",WHITBURN PARISH KIRK (SOUTH CHURCH) MANSE ROAD,Category B,Listed Building,Listed Building,-3.6840820080872527,55.86294877870387,high,1718,estimated_from_authoritative_source,medium,https://portal.historicenvironment.scot/designation/LB42184,2026-07-31T23:45:33.971Z,Historic Environment Scotland
whitburn-scotland,Whitburn,inside_locality,LB51254,hes-listed-building:LB51254,Hall,"EAST MAIN STREET, BRUCEFIELD CHURCH (CHURCH OF SCOTLAND) WITH COURTYARD AND CHURCH HALLS (INCLUDING FORMER CHURCH)",Category A,Listed Building,Listed Building,-3.6819987734179933,55.86650889432795,high,"Rowand Anderson, Kininmonth and Paul, 1965-1966 (Principal William Kininmonth",estimated_from_authoritative_source,medium,https://portal.historicenvironment.scot/designation/LB51254,2026-07-31T23:45:33.971Z,Historic Environment Scotland
