project_id,town,feature_id,feature_name,alternative_names,feature_type,designation_type,statutory_status,evidence_scope,geometry_type,longitude,latitude,location_type,location_confidence,current_date_text,current_date_basis,current_date_confidence,published_review_status,primary_source_organisation,primary_source_name,primary_source_record_id,primary_source_url,source_accessed_at,all_source_record_ids,review_notes,review_action
alloa-scotland,Alloa,nrhe:220553,"ALLOA, LIME TREE WALK, GENERAL",SAILOR'S WALK,archaeological_site,NRHE / trove.scot record,,parish_evidence,Point,-3.794684143799754,56.11026499943726,site_centroid,medium,,unknown,unknown,unreviewed,Historic Environment Scotland,Historic Environment Scotland NRHE / trove.scot Points GIS,220553,https://www.trove.scot/place/220553,2026-07-30T09:57:34.027Z,220553,"Imported from the official NRHE spatial index. This GIS record does not provide a construction date; review the linked trove.scot record before adding timeline evidence. Curation classification: catalogue/general-view record retained for provenance and Data Review, but hidden from the public map because it is not a discrete mapped heritage asset.",Check the linked source for an explicit date or supported date range; do not infer a construction date from a current map or generic classification.
alloa-scotland,Alloa,nrhe:141966,"ALLOA, MAR STREET, GENERAL", ,archaeological_site,NRHE / trove.scot record,,parish_evidence,Point,-3.7928316360814227,56.115386982812836,site_centroid,medium,,unknown,unknown,unreviewed,Historic Environment Scotland,Historic Environment Scotland NRHE / trove.scot Points GIS,141966,https://www.trove.scot/place/141966,2026-07-30T09:57:34.027Z,141966,"Imported from the official NRHE spatial index. This GIS record does not provide a construction date; review the linked trove.scot record before adding timeline evidence. Curation classification: catalogue/general-view record retained for provenance and Data Review, but hidden from the public map because it is not a discrete mapped heritage asset.",Check the linked source for an explicit date or supported date range; do not infer a construction date from a current map or generic classification.
alloa-scotland,Alloa,nrhe:47239,"ALLOA, MARS HILL", ,archaeological_site,NRHE / trove.scot record,,parish_evidence,Point,-3.7963874628285272,56.115757631822795,site_centroid,medium,,unknown,unknown,unreviewed,Historic Environment Scotland,Historic Environment Scotland NRHE / trove.scot Points GIS,47239,https://www.trove.scot/place/47239,2026-07-30T09:57:34.027Z,47239,Imported from the official NRHE spatial index. This GIS record does not provide a construction date; review the linked trove.scot record before adding timeline evidence. Curation classification: broad archaeological inventory evidence retained without an inferred construction date. It is available through the archaeology-evidence map filter and Data Review.,Check the linked source for an explicit date or supported date range; do not infer a construction date from a current map or generic classification.
alloa-scotland,Alloa,nrhe:47240,"ALLOA, MARS HILL",HAWK HILL,archaeological_site,NRHE / trove.scot record,,parish_evidence,Point,-3.796256018411382,56.11638856499655,site_centroid,medium,,unknown,unknown,unreviewed,Historic Environment Scotland,Historic Environment Scotland NRHE / trove.scot Points GIS,47240,https://www.trove.scot/place/47240,2026-07-30T09:57:34.027Z,47240,Imported from the official NRHE spatial index. This GIS record does not provide a construction date; review the linked trove.scot record before adding timeline evidence. Curation classification: broad archaeological inventory evidence retained without an inferred construction date. It is available through the archaeology-evidence map filter and Data Review.,Check the linked source for an explicit date or supported date range; do not infer a construction date from a current map or generic classification.
alloa-scotland,Alloa,nrhe:141969,"ALLOA, MILL STREET, GENERAL", ,archaeological_site,NRHE / trove.scot record,,parish_evidence,Point,-3.7910122135261486,56.11500003778174,site_centroid,medium,,unknown,unknown,unreviewed,Historic Environment Scotland,Historic Environment Scotland NRHE / trove.scot Points GIS,141969,https://www.trove.scot/place/141969,2026-07-30T09:57:34.027Z,141969,"Imported from the official NRHE spatial index. This GIS record does not provide a construction date; review the linked trove.scot record before adding timeline evidence. Curation classification: catalogue/general-view record retained for provenance and Data Review, but hidden from the public map because it is not a discrete mapped heritage asset.",Check the linked source for an explicit date or supported date range; do not infer a construction date from a current map or generic classification.
alloa-scotland,Alloa,nrhe:141940,"ALLOA, OLD BRIDGE STREET, GENERAL", ,archaeological_site,NRHE / trove.scot record,,parish_evidence,Point,-3.7894424452358613,56.115139620765085,site_centroid,medium,,unknown,unknown,unreviewed,Historic Environment Scotland,Historic Environment Scotland NRHE / trove.scot Points GIS,141940,https://www.trove.scot/place/141940,2026-07-30T09:57:34.027Z,141940,"Imported from the official NRHE spatial index. This GIS record does not provide a construction date; review the linked trove.scot record before adding timeline evidence. Curation classification: catalogue/general-view record retained for provenance and Data Review, but hidden from the public map because it is not a discrete mapped heritage asset.",Check the linked source for an explicit date or supported date range; do not infer a construction date from a current map or generic classification.
alloa-scotland,Alloa,nrhe:47207,"ALLOA, THE WALK", ,archaeological_site,NRHE / trove.scot record,,parish_evidence,Point,-3.7960527553361056,56.10857369301676,site_centroid,medium,,unknown,unknown,unreviewed,Historic Environment Scotland,Historic Environment Scotland NRHE / trove.scot Points GIS,47207,https://www.trove.scot/place/47207,2026-07-30T09:57:34.027Z,47207,Imported from the official NRHE spatial index. This GIS record does not provide a construction date; review the linked trove.scot record before adding timeline evidence. Curation classification: broad archaeological inventory evidence retained without an inferred construction date. It is available through the archaeology-evidence map filter and Data Review.,Check the linked source for an explicit date or supported date range; do not infer a construction date from a current map or generic classification.
alloa-scotland,Alloa,nrhe:220588,"ALLOA, THE WHINS, GENERAL", ,archaeological_site,NRHE / trove.scot record,,parish_evidence,Point,-3.7803605690609756,56.12083324895556,site_centroid,medium,,unknown,unknown,unreviewed,Historic Environment Scotland,Historic Environment Scotland NRHE / trove.scot Points GIS,220588,https://www.trove.scot/place/220588,2026-07-30T09:57:34.027Z,220588,"Imported from the official NRHE spatial index. This GIS record does not provide a construction date; review the linked trove.scot record before adding timeline evidence. Curation classification: catalogue/general-view record retained for provenance and Data Review, but hidden from the public map because it is not a discrete mapped heritage asset.",Check the linked source for an explicit date or supported date range; do not infer a construction date from a current map or generic classification.
alloa-scotland,Alloa,nrhe:165147,"ALLOA, UNION STREET, BREWERY","BANK STREET, COALGATE",archaeological_site,NRHE / trove.scot record,,parish_evidence,Point,-3.793393945198924,56.11364451728038,site_centroid,medium,,unknown,unknown,reviewed,Historic Environment Scotland,Historic Environment Scotland NRHE / trove.scot Points GIS,165147,https://www.trove.scot/place/165147,2026-07-30T09:57:34.027Z,165147,"Imported from the official NRHE spatial index. This GIS record does not provide a construction date; review the linked trove.scot record before adding timeline evidence. Curation classification: named NRHE built-environment, industrial, transport or place record retained for targeted source-date research. Final named-site review completed. The available NRHE and local-history sources did not establish a date for this specific mapped feature; it remains openly undated rather than receiving a site, business or nearby-asset date.",Check the linked source for an explicit date or supported date range; do not infer a construction date from a current map or generic classification.
alloa-scotland,Alloa,nrhe:220587,"ALLOA, UNION STREET, GENERAL", ,archaeological_site,NRHE / trove.scot record,,parish_evidence,Point,-3.793633782860085,56.11361407456567,site_centroid,medium,,unknown,unknown,unreviewed,Historic Environment Scotland,Historic Environment Scotland NRHE / trove.scot Points GIS,220587,https://www.trove.scot/place/220587,2026-07-30T09:57:34.027Z,220587,"Imported from the official NRHE spatial index. This GIS record does not provide a construction date; review the linked trove.scot record before adding timeline evidence. Curation classification: catalogue/general-view record retained for provenance and Data Review, but hidden from the public map because it is not a discrete mapped heritage asset.",Check the linked source for an explicit date or supported date range; do not infer a construction date from a current map or generic classification.
alloa-scotland,Alloa,nrhe:315748,"ALLOA, WALLACE STREET, GENERAL", ,archaeological_site,NRHE / trove.scot record,,parish_evidence,Point,-3.782780108257623,56.12062760791927,site_centroid,medium,,unknown,unknown,reviewed,Historic Environment Scotland,Historic Environment Scotland NRHE / trove.scot Points GIS,315748,https://www.trove.scot/place/315748,2026-07-30T09:57:34.027Z,315748,"Imported from the official NRHE spatial index. This GIS record does not provide a construction date; review the linked trove.scot record before adding timeline evidence. Curation classification: named NRHE built-environment, industrial, transport or place record retained for targeted source-date research. Final named-site review completed. The available NRHE and local-history sources did not establish a date for this specific mapped feature; it remains openly undated rather than receiving a site, business or nearby-asset date. This record is a generic event, road or place reference rather than a discrete dated historic asset. It remains in Data Review and exports but is not a public map pin.",Check the linked source for an explicit date or supported date range; do not infer a construction date from a current map or generic classification.
alloa-scotland,Alloa,nrhe:176967,"ALLOA, WARD STREET, MALTINGS", ,archaeological_site,NRHE / trove.scot record,,parish_evidence,Point,-3.798630901665463,56.112130557792,site_centroid,medium,,unknown,unknown,reviewed,Historic Environment Scotland,Historic Environment Scotland NRHE / trove.scot Points GIS,176967,https://www.trove.scot/place/176967,2026-07-30T09:57:34.027Z,176967,"Imported from the official NRHE spatial index. This GIS record does not provide a construction date; review the linked trove.scot record before adding timeline evidence. Curation classification: named NRHE built-environment, industrial, transport or place record retained for targeted source-date research. Final named-site review completed. The available NRHE and local-history sources did not establish a date for this specific mapped feature; it remains openly undated rather than receiving a site, business or nearby-asset date.",Check the linked source for an explicit date or supported date range; do not infer a construction date from a current map or generic classification.
alloa-scotland,Alloa,nrhe:304550,"HAWK HILL, ALLOA", ,archaeological_site,NRHE / trove.scot record,,parish_evidence,Point,-3.7867307745126153,56.11562819757425,site_centroid,medium,,unknown,unknown,unreviewed,Historic Environment Scotland,Historic Environment Scotland NRHE / trove.scot Points GIS,304550,https://www.trove.scot/place/304550,2026-07-30T09:57:34.027Z,304550,Imported from the official NRHE spatial index. This GIS record does not provide a construction date; review the linked trove.scot record before adding timeline evidence. Curation classification: broad archaeological inventory evidence retained without an inferred construction date. It is available through the archaeology-evidence map filter and Data Review.,Check the linked source for an explicit date or supported date range; do not infer a construction date from a current map or generic classification.
alloa-scotland,Alloa,nrhe:47226,INCH ISLAND FARM,"INCH, INCH FARM",archaeological_site,NRHE / trove.scot record,,parish_evidence,Point,-3.8154507659307955,56.10591749018593,site_centroid,medium,Farmstead and pier noted on the first-edition OS map (map year not recorded in the NRHE extract),first_mapped,medium,reviewed,Historic Environment Scotland,Historic Environment Scotland NRHE / trove.scot Points GIS,47226,https://www.trove.scot/place/47226,2026-07-30T09:57:34.027Z,47226,"Imported from the official NRHE spatial index. This GIS record does not provide a construction date; review the linked trove.scot record before adding timeline evidence. Curation classification: named NRHE built-environment, industrial, transport or place record retained for targeted source-date research. Final named-site review completed. The official NRHE record confirms first-edition map presence but supplies no sheet year, so this remains excluded by the established-date filter until a dated map source is reviewed.",Check the linked source for an explicit date or supported date range; do not infer a construction date from a current map or generic classification.
alloa-scotland,Alloa,nrhe:217317,RIVER FORTH, ,archaeological_site,NRHE / trove.scot record,,parish_evidence,Point,-3.818509148566266,56.107346166170665,site_centroid,medium,,unknown,unknown,unreviewed,Historic Environment Scotland,Historic Environment Scotland NRHE / trove.scot Points GIS,217317,https://www.trove.scot/place/217317,2026-07-30T09:57:34.027Z,217317,"Imported from the official NRHE spatial index. This GIS record does not provide a construction date; review the linked trove.scot record before adding timeline evidence. Curation classification: catalogue/general-view record retained for provenance and Data Review, but hidden from the public map because it is not a discrete mapped heritage asset.",Check the linked source for an explicit date or supported date range; do not infer a construction date from a current map or generic classification.
alloa-scotland,Alloa,hes-scheduled-monument:SM6914,Hawk Hill cairn,,scheduled_monument,Scheduled Monument,Scheduled Monument,parish_evidence,Polygon,,,exact,high,,unknown,unknown,unreviewed,Historic Environment Scotland,Historic Environment Scotland Designations GIS,SM6914,https://portal.historicenvironment.scot/designation/SM6914,2026-07-30T09:56:47.977Z,SM6914,Current statutory designation geometry. This designation does not establish the construction date of every asset within it. Curation classification: undated statutory or contextual evidence retained for separate source review.,Check the linked source for an explicit date or supported date range; do not infer a construction date from a current map or generic classification.
alloa-scotland,Alloa,hes-scheduled-monument:SM3746,"Alloa Glass Works,glass cone",,scheduled-monument,Scheduled Monument,Scheduled Monument,parish_evidence,Polygon,,,exact,high,,unknown,unknown,unreviewed,Historic Environment Scotland,Historic Environment Scotland Designations GIS,SM3746,https://portal.historicenvironment.scot/designation/SM3746,2026-07-30T09:56:47.977Z,SM3746,Statutory designation geometry is current; it does not establish construction dates. Official HES designation polygon imported. Curation classification: undated statutory or contextual evidence retained for separate source review.,Check the linked source for an explicit date or supported date range; do not infer a construction date from a current map or generic classification.
