project_id,town,selection_class,hes_designation_reference,feature_id,listed_building_title,statutory_title,category,designation_type,statutory_status,longitude,latitude,location_precision,documented_date,date_basis,date_confidence,source_url,source_accessed_at,source_attribution
dunning-scotland,Dunning,inside_locality,LB5957,hes-listed-building:LB5957,"Surgery, Bridge Of Earn Road, Dunning","DR. JANET MCLAREN'S SURGERY, BRIDGE OF EARN ROAD.",Category C,Listed Building,Listed Building,-3.5860500888515747,56.31183652800659,high,Mid 19th century,estimated_from_authoritative_source,medium,https://portal.historicenvironment.scot/designation/LB5957,2026-08-01T08:39:34.788Z,Historic Environment Scotland
dunning-scotland,Dunning,inside_locality,LB5958,hes-listed-building:LB5958,"Rowanbank, Thimblerow, Dunning","'ROWANBANK', THIMBLEROW, BRIDGE OF EARN ROAD.",Category C,Listed Building,Listed Building,-3.5856405647632523,56.311706989251384,high,,unknown,unknown,https://portal.historicenvironment.scot/designation/LB5958,2026-08-01T08:39:34.788Z,Historic Environment Scotland
dunning-scotland,Dunning,inside_locality,LB5959,hes-listed-building:LB5959,"Thimblerow, Bridge Of Earn Road, Dunning","LAING, THIMBLEROW, BRIDGE OF EARN ROAD.",Category C,Listed Building,Listed Building,-3.585703706130328,56.31167023857028,high,,unknown,unknown,https://portal.historicenvironment.scot/designation/LB5959,2026-08-01T08:39:34.788Z,Historic Environment Scotland
dunning-scotland,Dunning,inside_locality,LB5960,hes-listed-building:LB5960,"Thimblerow, Bridge Of Earn Road, Dunning","FRASER, THIMBLEROW, BRIDGE OF EARN ROAD.",Category C,Listed Building,Listed Building,-3.5857326710857036,56.31158899777741,high,,unknown,unknown,https://portal.historicenvironment.scot/designation/LB5960,2026-08-01T08:39:34.788Z,Historic Environment Scotland
dunning-scotland,Dunning,inside_locality,LB5961,hes-listed-building:LB5961,"Thimblerow, Bridge Of Earn Road, Dunning","BROWN, THIMBLEROW, BRIDGE OF EARN ROAD.",Category C,Listed Building,Listed Building,-3.585825521365184,56.311488967790034,high,,unknown,unknown,https://portal.historicenvironment.scot/designation/LB5961,2026-08-01T08:39:34.788Z,Historic Environment Scotland
dunning-scotland,Dunning,inside_locality,LB5962,hes-listed-building:LB5962,"Acharn, Thimblerow, Bridge Of Earn Road, Dunning","MR. PHILIP'S PROPERTY, THIMBLEROW, BRIDGE OF EARN ROAD.",Category C,Listed Building,Listed Building,-3.5860591724117734,56.31166568632688,high,,unknown,unknown,https://portal.historicenvironment.scot/designation/LB5962,2026-08-01T08:39:34.788Z,Historic Environment Scotland
dunning-scotland,Dunning,inside_locality,LB5963,hes-listed-building:LB5963,"Sunnyside, Bridge Of Earn Road, Dunning","'HILLCREST' AND 'SUNNYSIDE', BRIDGE OF EARN ROAD.",Category C,Listed Building,Listed Building,-3.585749049836514,56.311984151962335,high,,unknown,unknown,https://portal.historicenvironment.scot/designation/LB5963,2026-08-01T08:39:34.788Z,Historic Environment Scotland
dunning-scotland,Dunning,inside_locality,LB5964,hes-listed-building:LB5964,"Bridgend, Brdige Of Earn Road, Dunning","'BRIDGEND', BRIDGE OF EARN ROAD.",Category C,Listed Building,Listed Building,-3.5856675169102656,56.31196722490026,high,,unknown,unknown,https://portal.historicenvironment.scot/designation/LB5964,2026-08-01T08:39:34.788Z,Historic Environment Scotland
dunning-scotland,Dunning,inside_locality,LB5965,hes-listed-building:LB5965,"Clifton Bank, Bridge Of Earn Road, Dunning","'CLIFTON BANK', BRIDGE OF EARN ROAD.",Category C,Listed Building,Listed Building,-3.58548754922441,56.311915615928626,high,Early 19th century,estimated_from_authoritative_source,medium,https://portal.historicenvironment.scot/designation/LB5965,2026-08-01T08:39:34.788Z,Historic Environment Scotland
dunning-scotland,Dunning,inside_locality,LB5966,hes-listed-building:LB5966,"Skyemore, Bridge Of Earn Road, Dunning","'SKYEMORE', BRIDGE OF EARN ROAD.",Category C,Listed Building,Listed Building,-3.5852917965149516,56.3118731943158,high,,unknown,unknown,https://portal.historicenvironment.scot/designation/LB5966,2026-08-01T08:39:34.788Z,Historic Environment Scotland
dunning-scotland,Dunning,inside_locality,LB5967,hes-listed-building:LB5967,"County Council Houses, St Serf's Terrace, Perth Road, Dunning","COUNTY COUNCIL HOUSES, ST. SERF'S TERRACE, PERTH ROAD.",Category C,Listed Building,Listed Building,-3.5858935750044134,56.31235070847137,high,,unknown,unknown,https://portal.historicenvironment.scot/designation/LB5967,2026-08-01T08:39:34.788Z,Historic Environment Scotland
dunning-scotland,Dunning,inside_locality,LB5968,hes-listed-building:LB5968,"2 Perth Road, Dunning","JAMES CROW, PERTH ROAD.",Category C,Listed Building,Listed Building,-3.585735719042728,56.3124425853603,high,,unknown,unknown,https://portal.historicenvironment.scot/designation/LB5968,2026-08-01T08:39:34.788Z,Historic Environment Scotland
dunning-scotland,Dunning,inside_locality,LB5969,hes-listed-building:LB5969,"Dunearn, Perth Road, Dunning","'DUNEARN', PERTH ROAD.",Category C,Listed Building,Listed Building,-3.585690223317273,56.31251505226895,high,,unknown,unknown,https://portal.historicenvironment.scot/designation/LB5969,2026-08-01T08:39:34.788Z,Historic Environment Scotland
dunning-scotland,Dunning,inside_locality,LB5970,hes-listed-building:LB5970,"Ashbank, Perth Road, Dunning","DAWSON AND DIXON, PERTH ROAD.",Category C,Listed Building,Listed Building,-3.5856458441217782,56.31261446148952,high,,unknown,unknown,https://portal.historicenvironment.scot/designation/LB5970,2026-08-01T08:39:34.788Z,Historic Environment Scotland
dunning-scotland,Dunning,inside_locality,LB5971,hes-listed-building:LB5971,"Lorien Cottage, Perth Road, Dunning","FINDLAY, PERTH ROAD.",Category C,Listed Building,Listed Building,-3.5855702653479717,56.31274122679089,high,,unknown,unknown,https://portal.historicenvironment.scot/designation/LB5971,2026-08-01T08:39:34.788Z,Historic Environment Scotland
dunning-scotland,Dunning,inside_locality,LB5972,hes-listed-building:LB5972,"Taigh Anna, Perth Road, Dunning","STEWART, PERTH ROAD.",Category C,Listed Building,Listed Building,-3.585525885588548,56.312840635968215,high,,unknown,unknown,https://portal.historicenvironment.scot/designation/LB5972,2026-08-01T08:39:34.788Z,Historic Environment Scotland
dunning-scotland,Dunning,inside_locality,LB5973,hes-listed-building:LB5973,"Perth Road, Dunning","STEWART'S PROPERTY, PERTH ROAD.",Category C,Listed Building,Listed Building,-3.5854326591185646,56.31293168495642,high,,unknown,unknown,https://portal.historicenvironment.scot/designation/LB5973,2026-08-01T08:39:34.788Z,Historic Environment Scotland
dunning-scotland,Dunning,inside_locality,LB5974,hes-listed-building:LB5974,"Perth Road, Dunning","CROW, PERTH ROAD.",Category C,Listed Building,Listed Building,-3.585946292793449,56.31206249594829,high,,unknown,unknown,https://portal.historicenvironment.scot/designation/LB5974,2026-08-01T08:39:34.788Z,Historic Environment Scotland
dunning-scotland,Dunning,inside_locality,LB5975,hes-listed-building:LB5975,"Perth Road, Dunning","ROBSON, PERTH ROAD.",Category C,Listed Building,Listed Building,-3.585787693614895,56.312136411348654,high,,unknown,unknown,https://portal.historicenvironment.scot/designation/LB5975,2026-08-01T08:39:34.788Z,Historic Environment Scotland
dunning-scotland,Dunning,inside_locality,LB5976,hes-listed-building:LB5976,"Earnbank, Perth Road, Dunning","'EARNBANK', PERTH ROAD.",Category C,Listed Building,Listed Building,-3.585628721598536,56.31220134577175,high,,unknown,unknown,https://portal.historicenvironment.scot/designation/LB5976,2026-08-01T08:39:34.788Z,Historic Environment Scotland
dunning-scotland,Dunning,inside_locality,LB5977,hes-listed-building:LB5977,"Thyme, Tron Square, Dunning","'KIRKGATE HOUSE' (MISS FANNING) AND MCNAMEE, TRON SQUARE.",Category C,Listed Building,Listed Building,-3.5875420468987285,56.31233857209724,high,,unknown,unknown,https://portal.historicenvironment.scot/designation/LB5977,2026-08-01T08:39:34.788Z,Historic Environment Scotland
dunning-scotland,Dunning,inside_locality,LB5978,hes-listed-building:LB5978,"Craiglea, Station Road, Dunning","CRAIGIELEA, STATION ROAD.",Category C,Listed Building,Listed Building,-3.5887331293935048,56.31260184903743,high,,unknown,unknown,https://portal.historicenvironment.scot/designation/LB5978,2026-08-01T08:39:34.788Z,Historic Environment Scotland
dunning-scotland,Dunning,inside_locality,LB5979,hes-listed-building:LB5979,"Maule House, Auchterarder Road, Dunning","DUNNING HOTEL, 1 STATION ROAD, A. P. ARNOT'S SHOP AND 'MAULE HOUSE', STATION ROAD AND AUCHTERARDER ROAD.",Category C,Listed Building,Listed Building,-3.58859566158886,56.31240593052837,high,Early 19th century,estimated_from_authoritative_source,medium,https://portal.historicenvironment.scot/designation/LB5979,2026-08-01T08:39:34.788Z,Historic Environment Scotland
dunning-scotland,Dunning,inside_locality,LB5980,hes-listed-building:LB5980,"Auchterarder Road, Dunning","BOAG, AUCHTERARDER ROAD.",Category C,Listed Building,Listed Building,-3.590408056611831,56.312059187685236,high,Late 18th century,estimated_from_authoritative_source,medium,https://portal.historicenvironment.scot/designation/LB5980,2026-08-01T08:39:34.788Z,Historic Environment Scotland
dunning-scotland,Dunning,inside_locality,LB5981,hes-listed-building:LB5981,"Town Hall, Auchterarder Road, Dunning","TOWN HALL, AUCHTERARDER ROAD.",Category C,Listed Building,Listed Building,-3.58873026655357,56.312143622827094,high,Dated 1858,estimated_from_authoritative_source,medium,https://portal.historicenvironment.scot/designation/LB5981,2026-08-01T08:39:34.788Z,Historic Environment Scotland
