project_id,town,feature_id,feature_name,alternative_names,feature_type,designation_type,statutory_status,evidence_scope,geometry_type,longitude,latitude,location_type,location_confidence,current_date_text,current_date_basis,current_date_confidence,published_review_status,primary_source_organisation,primary_source_name,primary_source_record_id,primary_source_url,source_accessed_at,all_source_record_ids,review_notes,review_action
kincardine-on-forth-scotland,Kincardine-on-Forth,nrhe:101358,BORDIE LOCH, ,archaeological_site,NRHE / trove.scot record,,parish_evidence,Point,-3.6875847677703932,56.05529006748287,site_centroid,medium,,unknown,unknown,unreviewed,Historic Environment Scotland,Historic Environment Scotland NRHE / trove.scot Points GIS,101358,https://www.trove.scot/place/101358,2026-07-30T09:59:21.265Z,101358,Imported from the official NRHE spatial index. This GIS record does not provide a construction date; review the linked trove.scot record before adding timeline evidence.,Check the linked source for an explicit date or supported date range; do not infer a construction date from a current map or generic classification.
kincardine-on-forth-scotland,Kincardine-on-Forth,nrhe:124579,CAVERNS,CROOKMUIRHALL,archaeological_site,NRHE / trove.scot record,,parish_evidence,Point,-3.6730148680800925,56.0562972275404,site_centroid,medium,,unknown,unknown,unreviewed,Historic Environment Scotland,Historic Environment Scotland NRHE / trove.scot Points GIS,124579,https://www.trove.scot/place/124579,2026-07-30T09:59:21.265Z,124579,Imported from the official NRHE spatial index. This GIS record does not provide a construction date; review the linked trove.scot record before adding timeline evidence.,Check the linked source for an explicit date or supported date range; do not infer a construction date from a current map or generic classification.
kincardine-on-forth-scotland,Kincardine-on-Forth,nrhe:124581,CAVERNS, ,archaeological_site,NRHE / trove.scot record,,parish_evidence,Point,-3.668364299913134,56.05645005981582,site_centroid,medium,,unknown,unknown,unreviewed,Historic Environment Scotland,Historic Environment Scotland NRHE / trove.scot Points GIS,124581,https://www.trove.scot/place/124581,2026-07-30T09:59:21.265Z,124581,Imported from the official NRHE spatial index. This GIS record does not provide a construction date; review the linked trove.scot record before adding timeline evidence.,Check the linked source for an explicit date or supported date range; do not infer a construction date from a current map or generic classification.
kincardine-on-forth-scotland,Kincardine-on-Forth,nrhe:48087,DAMEND FARM, ,archaeological_site,NRHE / trove.scot record,,parish_evidence,Point,-3.7048231477680997,56.08201083821548,site_centroid,medium,,unknown,unknown,unreviewed,Historic Environment Scotland,Historic Environment Scotland NRHE / trove.scot Points GIS,48087,https://www.trove.scot/place/48087,2026-07-30T09:59:21.265Z,48087,Imported from the official NRHE spatial index. This GIS record does not provide a construction date; review the linked trove.scot record before adding timeline evidence.,Check the linked source for an explicit date or supported date range; do not infer a construction date from a current map or generic classification.
kincardine-on-forth-scotland,Kincardine-on-Forth,nrhe:74782,"DICKSON'S WOOD, KINCARDINE-ON-FORTH", ,archaeological_site,NRHE / trove.scot record,,parish_evidence,Point,-3.710295382914736,56.09307766008471,site_centroid,medium,,unknown,unknown,unreviewed,Historic Environment Scotland,Historic Environment Scotland NRHE / trove.scot Points GIS,74782,https://www.trove.scot/place/74782,2026-07-30T09:59:21.265Z,74782,Imported from the official NRHE spatial index. This GIS record does not provide a construction date; review the linked trove.scot record before adding timeline evidence.,Check the linked source for an explicit date or supported date range; do not infer a construction date from a current map or generic classification.
kincardine-on-forth-scotland,Kincardine-on-Forth,nrhe:162414,DONALD'S DAM, ,archaeological_site,NRHE / trove.scot record,,parish_evidence,Point,-3.709590550580049,56.088055316244116,site_centroid,medium,,unknown,unknown,unreviewed,Historic Environment Scotland,Historic Environment Scotland NRHE / trove.scot Points GIS,162414,https://www.trove.scot/place/162414,2026-07-30T09:59:21.265Z,162414,Imported from the official NRHE spatial index. This GIS record does not provide a construction date; review the linked trove.scot record before adding timeline evidence.,Check the linked source for an explicit date or supported date range; do not infer a construction date from a current map or generic classification.
kincardine-on-forth-scotland,Kincardine-on-Forth,nrhe:162422,GARTARRY WOOD, ,archaeological_site,NRHE / trove.scot record,,parish_evidence,Point,-3.7173097574501535,56.10259519661813,site_centroid,medium,,unknown,unknown,unreviewed,Historic Environment Scotland,Historic Environment Scotland NRHE / trove.scot Points GIS,162422,https://www.trove.scot/place/162422,2026-07-30T09:59:21.265Z,162422,Imported from the official NRHE spatial index. This GIS record does not provide a construction date; review the linked trove.scot record before adding timeline evidence.,Check the linked source for an explicit date or supported date range; do not infer a construction date from a current map or generic classification.
kincardine-on-forth-scotland,Kincardine-on-Forth,nrhe:162415,INCH FARM, ,archaeological_site,NRHE / trove.scot record,,parish_evidence,Point,-3.704135130534516,56.062790477561656,site_centroid,medium,,unknown,unknown,unreviewed,Historic Environment Scotland,Historic Environment Scotland NRHE / trove.scot Points GIS,162415,https://www.trove.scot/place/162415,2026-07-30T09:59:21.265Z,162415,Imported from the official NRHE spatial index. This GIS record does not provide a construction date; review the linked trove.scot record before adding timeline evidence.,Check the linked source for an explicit date or supported date range; do not infer a construction date from a current map or generic classification.
kincardine-on-forth-scotland,Kincardine-on-Forth,nrhe:162416,INCH FARM, ,archaeological_site,NRHE / trove.scot record,,parish_evidence,Point,-3.7013310752720496,56.0611218459886,site_centroid,medium,,unknown,unknown,unreviewed,Historic Environment Scotland,Historic Environment Scotland NRHE / trove.scot Points GIS,162416,https://www.trove.scot/place/162416,2026-07-30T09:59:21.265Z,162416,Imported from the official NRHE spatial index. This GIS record does not provide a construction date; review the linked trove.scot record before adding timeline evidence.,Check the linked source for an explicit date or supported date range; do not infer a construction date from a current map or generic classification.
kincardine-on-forth-scotland,Kincardine-on-Forth,nrhe:174315,INCH FARM,LONGANNET,archaeological_site,NRHE / trove.scot record,,parish_evidence,Point,-3.7032255738808337,56.06037683432867,site_centroid,medium,,unknown,unknown,unreviewed,Historic Environment Scotland,Historic Environment Scotland NRHE / trove.scot Points GIS,174315,https://www.trove.scot/place/174315,2026-07-30T09:59:21.265Z,174315,Imported from the official NRHE spatial index. This GIS record does not provide a construction date; review the linked trove.scot record before adding timeline evidence.,Check the linked source for an explicit date or supported date range; do not infer a construction date from a current map or generic classification.
